country,opening income,total earnings
USA & Canada,162022044.0,616027000.0
Bulgaria,257216.0,1241652.0
Croatia,434788.0,1434712.0
Czech Republic,874969.0,5562027.0
France,9961544.0,42622221.0
Germany,6712904.0,53505245.0
Hungary,661089.0,3590661.0
Iceland,163415.0,967079.0
Italy,8585116.0,33524806.0
Lithuania,242034.0,1200380.0
Netherlands,2611923.0,19761236.0
Norway,1475447.0,8353509.0
Poland,2434900.0,13702233.0
Portugal,1272343.0,5408634.0
Romania,666491.0,2918523.0
Serbia and Montenegro,389246.0,1086478.0
Slovakia,391381.0,1712300.0
Slovenia,140957.0,832344.0
South Africa,665013.0,2557341.0
Spain,5730304.0,34599183.0
Türkiye,1548338.0,5166414.0
Ukraine,0.0,2995441.0
United Arab Emirates,1945501.0,3965330.0
United Kingdom,23790791.0,116542914.0
Argentina,4600000.0,15300000.0
Brazil,17600000.0,43600000.0
Colombia,4442404.0,9654219.0
Mexico,22691954.0,54282404.0
Peru,3700000.0,3700000.0
Australia,14600000.0,54700000.0
Hong Kong,934864.0,5145361.0
Japan,0.0,3883578.0
New Zealand,2166125.0,8157547.0
South Korea,1196975.0,4271846.0
China,8100000.0,35100000.0
